alf_excel_row,alf_facility,alf_corporate,alf_address,alf_city,alf_state,alf_beds,alf_census,alf_ownership,alf_served,confidence,snf_excel_row,snf_facility,snf_corporate,snf_beds,snf_census,cms_provider,cms_beds,cms_chain,cms_chain_id
6135,SIGNATURE HEALTHCARE OF COLONIAL,SIGNATURE HEALTH,708 Bartley Ave,Bardstown,KY,67,54,Corporate,Yes,HIGH,6089,SIGNATURE HEALTHCARE AT COLONIAL REHAB & WELLNESS,SIGNATURE HEALTHCARE,65,50.6,SIGNATURE HEALTHCARE AT COLONIAL REHAB & WELLNESS,65.0,SIGNATURE HEALTHCARE,474.0
6136,SIGNATURE HEALTHCARE OF HART COUNTY,SIGNATURE HEALTH,1505 S Dixie St,Horse Cave,KY,54,43,Corporate,Yes,HIGH,6105,SIGNATURE HEALTHCARE OF HART COUNTY REHAB & WELLNE,SIGNATURE HEALTHCARE,104,92.3,SIGNATURE HEALTHCARE OF HART COUNTY REHAB & WELLNE,104.0,SIGNATURE HEALTHCARE,474.0
6138,SIGNATURE HEALTHCARE OF MONROE COUNTY,SIGNATURE HEALTH,706 N Magnolia St,Tompkinsville,KY,49,39,Corporate,Yes,HIGH,6108,SIGNATURE HEALTHCARE OF MONROE COUNTY REHAB & WELL,SIGNATURE HEALTHCARE,104,77.8,SIGNATURE HEALTHCARE OF MONROE COUNTY REHAB & WELL,104.0,SIGNATURE HEALTHCARE,474.0
6139,SIGNATURE HEALTHCARE OF ROCKFORD,SIGNATURE HEALTH,4700 Quinn Dr.,Louisville,KY,102,82,Corporate,Yes,HIGH,6096,SIGNATURE HEALTHCARE AT ROCKFORD REHAB & WELLNESS,SIGNATURE HEALTHCARE,110,101.2,SIGNATURE HEALTHCARE AT ROCKFORD REHAB & WELLNESS,110.0,SIGNATURE HEALTHCARE,474.0
6140,SOMERSET NURSING AND REHAB,BLUEGRASS/ENCORE,106 Gover St,Somerset,KY,67,54,Corporate,Yes,HIGH,6111,SOMERSET NURSING AND REHABILITATION FACILITY,BLUEGRASS HEALTH KY,123,117.6,SOMERSET NURSING AND REHABILITATION FACILITY,123.0,BLUEGRASS HEALTH KY,748.0
6143,SPRINGFIELD NURSING AND REHABILITATION,TOPAZ,420 E Grundy Ave,Springfield,KY,39,31,Corporate,Yes,HIGH,6116,SPRINGFIELD NURSING AND REHABILITATION CENTER,BENJAMIN LANDA,70,62.8,SPRINGFIELD NURSING AND REHABILITATION CENTER,70.0,BENJAMIN LANDA,646.0
6173,TERRACE NURSING AND REHAB,BLUEGRASS/ENCORE,1043 Brooklyn Blvd,Berea,KY,75,60,Corporate,Yes,HIGH,6158,THE TERRACE NURSING AND REHABILITATION CENTER,BLUEGRASS HEALTH KY,102,92.6,THE TERRACE NURSING AND REHABILITATION CENTER,102.0,BLUEGRASS HEALTH KY,748.0
6191,THE OAKS ASSISTED LIVING,PACS GROUP,1012 Richwood Way,Lagrange,KY,24,19,Corporate,No,HIGH,6055,RICHWOOD NURSING & REHAB,PACS GROUP,120,105.8,RICHWOOD NURSING & REHAB,120.0,PACS GROUP,690.0
6193,THE PAVILION AT KENTON,PAVILION HEALTHCARE,401 E 20Th St,Covington,KY,80,64,Corporate,Yes,HIGH,6154,THE PAVILION AT KENTON,THE PAVILION GROUP,82,77.2,THE PAVILION AT KENTON,82.0,THE PAVILION GROUP,514.0
6194,THE SPRINGS AT OLDHAM RESERVE,TRILOGY HEALTH SERVICES,2000 E Peak Rd,La Grange,KY,41,33,Corporate,No,HIGH,6156,THE SPRINGS AT OLDHAM RESERVE,TRILOGY HEALTH SERVICES,10,8,THE SPRINGS AT OLDHAM RESERVE,10.0,TRILOGY HEALTH SERVICES,524.0
