excel_row,facility,corporate_name,address,city,state,ownership_type,do_we_serve,beds,census,data_quality_flag,facility_tags,corporate_tags,all_tags,confidence
18115,COTTAGE AT WEXNER HERITAGE VILLAGE THE,HERITAGE TOWER COLUMBUS LLC,1149 College Avenue,Columbus,OH,Corporate,No,20,16,,COTTAGE,,COTTAGE,MEDIUM
18116,COTTAGES AT GREAT BRIDGE APARTMENTS,LCA CGB,625 Bettes Way,Chesapeake,VA,Independent,No,289,231,,COTTAGE,,COTTAGE,MEDIUM
18119,COTTONWOOD VILLAS,BLUE RIDGE HEALTH INVESTOR LLC,800 W Church St,Bishopville,SC,Independent,No,85,68,,VILLA,,VILLA,MEDIUM
18127,COUNTRY COTTAGE- LAWRENCEBURG,COTTAGES LAWRENCEBURG LLC,469 Weakley Creek Road,Lawrenceburg,TN,Independent,No,29,23,,COTTAGE,COTTAGE,COTTAGE,MEDIUM
18153,COURTYARD AT SEASONS,GA HC REIT II SEASONS CCRC LLC,7100 / 7300 Dearwester Drive,Cincinnati,OH,Independent,No,426,341,,,CCRC,CCRC,LOW
18163,CPHV RCF 917 LLC,LK HERITAGE VILLAS LLC,917 Pittsburg Ave Nw,North Canton,OH,Corporate,No,16,13,,,VILLA,VILLA,LOW
18164,CPHV RCF 919 LLC,LK HERITAGE VILLAS LLC,919 Pittsburg Ave Nw,North Canton,OH,Corporate,No,16,13,,,VILLA,VILLA,LOW
18178,CROMWELL HOUSE SENIOR APARTMENTS - 55+,CROMWELL INVESTORS,114 Cromwell Pkwy,Norfolk,VA,Independent,No,205,164,,"SENIOR_APARTMENTS, AGE_55_PLUS",,"AGE_55_PLUS, SENIOR_APARTMENTS",HIGH
18233,DEVEREUX PA ADULT SERVICES PCH - HILLCREST COTTAGE,DEVEREUX FOUNDATION,229 Leopard Road,Berwyn,PA,Corporate,No,21,17,,COTTAGE,,COTTAGE,MEDIUM
18234,DEVEREUX PA ADULT SERVICES PCH - HILLTOP COTTAGE,DEVEREUX FOUNDATION,237 Leopard Road,Berwyn,PA,Corporate,No,18,14,,COTTAGE,,COTTAGE,MEDIUM
18244,DISCOVERY VILLAGE AT THE WEST END,KAPG RICHMOND SENIOR HOUSING IL LLC,9801 Harmony Woods Way,Richmond,VA,Independent,No,214,171,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
18365,FAIRFIELD VILLAGE SENIOR APARTMENTS,WELLCLOVER HOLDINGS LLC,520 Patterson Blvd,Fairfield,OH,Independent,No,238,190,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
18373,FAITH FRIENDSHIP VILLA OF MOUNTVILLE,FAITH FRIENDSHIP MINISTRIES,128 West Main Street,Mountville,PA,Independent,No,74,59,,VILLA,,VILLA,MEDIUM
18386,FIELDCHASE SENIOR APARTMENTS,CLOVER COMMUNITIES MIAMI LLC,6350 Todd Farm Ln,Loveland,OH,Independent,No,122,98,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
18471,GARDENS OF SOUTHWEST SENIOR VILLAS APARTMENTS,WINDING INVESTMENTS LLC,3481 Petunia Pl,Fort Wayne,IN,Independent,No,55,44,,VILLA,,VILLA,MEDIUM
18472,GARDENS ON GATEWAY SENIOR APARTMENTS,7357 N GATEWAY CROSSING BLVD L,7357 N Gateway Crossing,Mccordsville,IN,Independent,No,238,190,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
18475,GATEWAY POINTE SENIOR APARTMENTS 55+,GATEWAY POINTE LLC,4 Gateway Dr,Euclid,OH,Independent,No,246,197,,"SENIOR_APARTMENTS, AGE_55_PLUS",,"AGE_55_PLUS, SENIOR_APARTMENTS",HIGH
