alf_excel_row,alf_facility,alf_corporate,alf_address,alf_city,alf_state,alf_beds,alf_census,alf_ownership,alf_served,match_type,snf_excel_row,snf_facility,snf_corporate,snf_beds,cms_provider,cms_beds,cms_chain
5371,WEST RIVER HEALTH CAMPUS,TRILOGY HEALTH SERVICES,714 S Eickhoff Rd,Evansville,IN,70,56,Corporate,No,BOTH,5323,WEST RIVER HEALTH CAMPUS,TRILOGY HEALTH SERVICES,61,WEST RIVER HEALTH CAMPUS,61.0,TRILOGY HEALTH SERVICES
4939,LODGE OF THE WABASH,REAL PROPERTY HEALTH FACILITIES,723 E Ramsey Rd,Vincennes,IN,47,38,Corporate,No,BOTH,4928,LODGE OF THE WABASH,REAL PROPERTY HEALTH FACILITIES,70,LODGE OF THE WABASH,70.0,REAL PROPERTY HEALTH FACILITIES
5369,WESLEYAN HEALTH & REHABILITATION CENTER,TLC MANAGEMENT,729 W 35Th St,Marion,IN,16,13,Corporate,No,BOTH,5321,WESLEYAN HEALTH CARE CENTER,TLC MANAGEMENT,139,WESLEYAN HEALTH CARE CENTER,139.0,TLC MANAGEMENT
11920,CENTERVILLE HEALTH AND REHAB,PAVILION HEALTHCARE,7300 Mcewen Rd,Dayton,OH,81,65,Corporate,Yes,BOTH,11823,CENTERVILLE HEALTH AND REHAB,SIMCHA HYMAN & NAFTALI ZANZIPER,120,CENTERVILLE HEALTH AND REHAB,120.0,SIMCHA HYMAN & NAFTALI ZANZIPER
5377,WILDWOOD HEALTHCARE CENTER SNF,COMMUNICARE,7301 E 16Th St,Indianapolis,IN,117,94,Corporate,Yes,BOTH,5335,WILDWOOD HEALTHCARE CENTER,COMMUNICARE HEALTH,160,WILDWOOD HEALTHCARE CENTER,160.0,COMMUNICARE HEALTH
19939,SMITH'S MILL HEALTH CAMPUS,NEW ALBANY PROPERTY LLC,7320 Smith's Mill Road,New Albany,OH,107,86,Independent,No,BOTH,12675,SMITHS MILL HEALTH CAMPUS,TRILOGY HEALTH SERVICES,50,SMITHS MILL HEALTH CAMPUS,50.0,TRILOGY HEALTH SERVICES
19372,OAKBRIDGE TERRACE AT FORT WASHINGTON ESTATES,,735 Susquehanna Rd,Fort Washington,PA,122,98,Independent,No,BOTH,14119,WILLOWBROOKE CTSKDCARECTR AT FORTWASHINGTONESTATES,ACTS RETIREMENT-LIFE COMMUNITIES,9,WILLOWBROOKE CTSKDCARECTR AT FORTWASHINGTONESTATES,9.0,ACTS RETIREMENT-LIFE COMMUNITIES
8986,CARROLTON OF NASH,CARROLTON,7369 Hunter Hill Rd,Rocky Mount,NC,47,38,Corporate,Yes,BOTH,9753,THE CARROLTON OF NASH,CARROLTON,141,THE CARROLTON OF NASH,141.0,CARROLTON NURSING HOMES
16493,SANDERS RETIREMENT VILLAGE,INDEPENDENT,7385 Walker Ave,Gloucester,VA,72,58,Independent,No,BOTH,16446,RIVERSIDE LIFELONG HEALTH & REHABILITATION SANDERS,RIVERSIDE HEALTH SYSTEM,55,RIVERSIDE LIFELONG HEALTH & REHABILITATION SANDERS,55.0,RIVERSIDE HEALTH SYSTEM
19889,SHANNONDALE OF KNOXVILLE,7512 MIDDLEBROOK PIKE TN LLC,7424 Middlebrook Pike,Knoxville,TN,273,218,Corporate,No,BOTH,14756,SHANNONDALE HEALTH CARE CENTER,,176,SHANNONDALE HEALTH CARE CENTER,176.0,
9933,TRINITY ELMS SNF,LUTHERAN SERVICES CAROLINA,7449 Fair Oaks Dr,Clemmons,NC,40,32,Corporate,Yes,BOTH,9794,TRINITY ELMS,LUTHERAN SERVICES CAROLINAS,100,TRINITY ELMS,100.0,LUTHERAN SERVICES CAROLINAS
4616,BRICKYARD HEALTHCARE - BRANDYWINE,BRICKYARD,745 N Swope St,Greenfield,IN,46,37,Corporate,Yes,BOTH,4566,BRICKYARD HEALTHCARE - BRANDYWINE CARE CENTER,BRICKYARD HEALTHCARE,128,BRICKYARD HEALTHCARE - BRANDYWINE CARE CENTER,128.0,BRICKYARD HEALTHCARE
18563,GREENSPRING VILLAGE,GREENSPRING VILLAGE INC,7470 Spring Village Dr,Springfield,VA,324,259,Corporate,No,BOTH,16299,GREENSPRING VILLAGE,ERICKSON SENIOR LIVING,62,GREENSPRING VILLAGE,62.0,ERICKSON SENIOR LIVING
20156,TAYLOR SPRINGS HEALTH CAMPUS,TRILOGY REAL ESTATE GAHANNA LLC,748 Taylor Road,Gahanna,OH,171,137,Independent,No,BOTH,12752,TAYLOR SPRINGS HEALTH CAMPUS,TRILOGY HEALTH SERVICES,58,TAYLOR SPRINGS HEALTH CAMPUS,58.0,TRILOGY HEALTH SERVICES
18348,EPISCOPAL CHURCH HOME,TRUSTEES OF THE CHURCH HOME & INFIRM,7504 Westport Road,Louisville,KY,174,139,Independent,No,BOTH,6149,THE EPISCOPAL CHURCH HOME,"EPISCOPAL RETIREMENT HOMES, INC.",26,THE EPISCOPAL CHURCH HOME,26.0,"EPISCOPAL RETIREMENT HOMES, INC."
17696,BRETHREN RETIREMENT COMMUNITY,BRETHREN RETIREMENT COMMUNITY OHIO NOT FOR PROFIT CORP,750 Chestnut Street,Greenville,OH,369,295,Independent,No,BOTH,11700,BRETHREN RETIREMENT COMMUNITY,,80,BRETHREN RETIREMENT COMMUNITY,80.0,
8972,CAROL WOODS RETIREMENT COMMUNITY - BUILDING 7,"THE CHAPEL HILL RESIDENTIAL RETIREMENT CENTER, INC",750 Weaver Dairy Rd,Chapel Hill,NC,12,10,Corporate,No,BOTH,8905,CAROL WOODS,,30,CAROL WOODS,30.0,
9852,THE CAROL WOODS RETIREMENT COMMUNITY - BUILDING 6,"THE CHAPEL HILL RESIDENTIAL RETIREMENT CENTER, INC",750 Weaver Dairy Rd,Chapel Hill,NC,12,10,Corporate,No,BOTH,8905,CAROL WOODS,,30,CAROL WOODS,30.0,
17866,CAROL WOODS RETIREMENT COMMUNITY,"THE CHAPEL HILL RESIDENTIAL RETIREMENT CENTER, INC",750 Weaver Dairy Rd,Chapel Hill,NC,465,372,Corporate,No,BOTH,8905,CAROL WOODS,,30,CAROL WOODS,30.0,
19433,OUR LADY OF PEACE,OUR LADY OF PEACE INC,751 Hillsdale Drive,Charlottesville,VA,140,112,Independent,No,BOTH,16411,OUR LADY OF PEACE INC,,30,OUR LADY OF PEACE INC,30.0,
11646,AVENTURA AT HUMILITY HOUSE,AVENTURA,755 Ohltown Rd,Austintown,OH,32,26,Corporate,Yes,BOTH,11603,AVENTURA  AT HUMILITY HOUSE,AVENTURA HEALTH GROUP,70,AVENTURA  AT HUMILITY HOUSE,70.0,AVENTURA HEALTH GROUP
19169,MEADOWS OF KALIDA THE,TRILOGY REAL ESTATE OF KALIDA LLC,755 Ottawa Street,Kalida,OH,128,102,Independent,No,BOTH,12361,MEADOWS OF KALIDA,TRILOGY HEALTH SERVICES,62,MEADOWS OF KALIDA,62.0,TRILOGY HEALTH SERVICES
12412,MIAMI COV SNF,CHARTER SENIOR LIVING,75 Mote Dr,Covington,OH,58,46,Corporate,Yes,BOTH,12706,STILLWATER SKILLED NURSING AND REHABILITATION,,75,STILLWATER SKILLED NURSING AND REHABILITATION,75.0,
17948,CHAPEL POINTE AT CARLISLE,ALLIANCE HOME OF CARLISLE PENNSYLVANIA,770 S Hanover St,Carlisle,PA,212,170,Independent,No,BOTH,13561,CHAPEL POINTE AT CARLISLE,,59,CHAPEL POINTE AT CARLISLE,59.0,
19550,PINE RUN VILLAGE,PINE RUN VILLAGE INC,777 Ferry Road,Doylestown,PA,480,384,Corporate,No,BOTH,13913,PINE RUN HEALTH CENTER,PRESBYTERIAN SENIOR LIVING,90,PINE RUN HEALTH CENTER,90.0,PRESBYTERIAN SENIOR LIVING
12103,GLENDALE PLACE NURSING & REHAB,CARING PLACE HEALTHCARE,779 Glendale Milford Rd,Cincinnati,OH,60,48,Corporate,Yes,BOTH,12071,GLENDALE PLACE CARE CENTER,CARING PLACE HEALTHCARE,122,GLENDALE PLACE CARE CENTER,122.0,CARING PLACE HEALTHCARE GROUP
12619,SAINT AUGUSTINE HEALTH CAMPUS,INDEPENDENT,7801 Detroit Ave,Cleveland,OH,110,88,Independent,No,BOTH,12694,ST AUGUSTINE MANOR,,234,ST AUGUSTINE MANOR,234.0,
4520,ADDISON POINTE HEALTH & REHAB CENTER,TLC MANAGEMENT,780 Dickinson Rd,Chesterton,IN,42,34,Corporate,Yes,BOTH,4482,ADDISON POINTE HEALTH & REHABILITATION CENTER,TLC MANAGEMENT,100,ADDISON POINTE HEALTH & REHABILITATION CENTER,100.0,TLC MANAGEMENT
4698,COVENTRY MEADOWS ASSISTED LIVING,AMERICAN SENIOR COMMUNITIES,7843 W Jefferson Blvd,Fort Wayne,IN,7,6,Corporate,Yes,BOTH,4662,COVENTRY MEADOWS,AMERICAN SENIOR COMMUNITIES,150,COVENTRY MEADOWS,150.0,AMERICAN SENIOR COMMUNITIES
5354,WATERS OF LAGRANGE,INFINITY HEALTHCARE CONSULTING,787 N Detroit St,Lagrange,IN,70,56,Corporate,Yes,BOTH,20757,"WATERS OF LAGRANGE SKILLED NURSING FACILITY, THE",SUKHDEEP OIL & GAS INC,120,"WATERS OF LAGRANGE SKILLED NURSING FACILITY, THE",100.0,INFINITY HEALTHCARE CONSULTING
5355,WATERS OF LAGRANGE,INFINITY HEALTHCARE CONSULTING,787 N Detroit St,Lagrange,IN,17,14,Corporate,No,BOTH,20757,"WATERS OF LAGRANGE SKILLED NURSING FACILITY, THE",SUKHDEEP OIL & GAS INC,120,"WATERS OF LAGRANGE SKILLED NURSING FACILITY, THE",100.0,INFINITY HEALTHCARE CONSULTING
9329,LIBERTY COMMONS NURSING AND REHAB OF ALAMANCE,LIBERTY,791 Boone Station Dr,Burlington,NC,123,98,Corporate,Yes,BOTH,9301,LIBERTY COMMONS NURSING & REHAB ALAMANCE,,122,LIBERTY COMMONS NURSING & REHAB ALAMANCE,122.0,
20743,WARE PRESBYTERIAN VILLAGE,PRESBYTERIAN HOMES & SERVICES,7 E Locust St,Oxford,PA,322,258,Corporate,No,BOTH,13889,OXFORD HEALTH CENTER,PRESBYTERIAN SENIOR LIVING,90,OXFORD HEALTH CENTER,90.0,PRESBYTERIAN SENIOR LIVING
12830,THE MEADOWS OF DELPHOS,INDEPENDENT,800 Ambrose Dr,Delphos,OH,41,33,Independent,No,DB_SNF_ONLY,19168,MEADOWS OF DELPHOS THE,TRILOGY REAL ESTATE DELPHOS II LLC,95,,,
19038,LUTHER CREST RETIREMENT COMMUNITY,LUTHERAN SENIOR SERVICES EAST,800 Hausman Rd,Allentown,PA,437,350,Corporate,No,BOTH,13803,LUTHER CREST NURSING FACILITY,,60,LUTHER CREST NURSING FACILITY,60.0,
19533,PETER BECKER COMMUNITY,BECKER PETER COMMUNITY,800 Maple Ave,Harleysville,PA,489,391,Independent,No,BOTH,13905,PETER BECKER COMMUNITY,,72,PETER BECKER COMMUNITY,72.0,
18105,COPELAND OAKS RETIREMENT COMMUNITY,COPELAND UNITED METHODIST,800 S 15th St,Sebring,OH,580,464,Independent,No,BOTH,11898,CRANDALL NURSING HOME,,150,CRANDALL NURSING HOME,150.0,
5351,WATERFORD PLACE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,800 St. Joseph Dr,Kokomo,IN,48,38,Corporate,No,BOTH,5276,WATERFORD PLACE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,103,WATERFORD PLACE HEALTH CAMPUS,103.0,TRILOGY HEALTH SERVICES
