addr_key,glr_facility_name,glr_type,glr_beds,glr_census,glr_patients,glr_cmsccn,glr_status,glr_parent_company,city,state,zip,pc,psych,mh,pod,pain,wc,spec
205 FIFTH ST,Carrollton Manor,AL,NULL,NULL,30,NULL,Established,HEALTH SYSTEMS OF KENTUCKY,Carrolton,Kentucky,41008,13,0,0,0,0,1,0
205 HOUSTON ST,818 Heritage Hall Lexington,SNFMD,NULL,NULL,56,495321,Established,AMERICAN HEALTHCARE LLC,LEXINGTON,Virginia,24450,52,0,0,0,0,10,0
205 RATTLESNAKE TRL,The Greens at Pinehurst Rehab and Living Ce,SNF,120,90,32,345177,Established,INDEPENDENT,Pinehurst,North Carolina,28374,26,0,0,0,0,0,0
206 N MOSBY AVE,The Landings at Lake Gaston,AL,NULL,NULL,46,NULL,Established,ALG,Littleton,North Carolina,27850,34,0,0,0,0,12,0
2060 W FIFTH ST,Alpha Care One,AL,NULL,NULL,62,NULL,Established,ALPHA CARE ONE ASSISTED LIVING LLC,Greenville,North Carolina,27834,59,0,0,0,0,7,0
2065 LYON ST,Belaire,SNFMD,NULL,86,84,345457,Established,MFA,Gastonia,North Carolina,28052,80,0,0,0,0,33,65
207 CHAPPELL DR,McCoy Memorial Nursing Center,SNF,NULL,NULL,98,425174,Established,Concierge Healthcare,Bishopville,South Carolina,29010,95,0,0,0,0,0,0
208 GRISTMILL DR,RUNK & PRATT FOREST-ALF,AL,NULL,NULL,29,NULL,Established,Runk & Pratt,FOREST,Virginia,24551,27,0,0,0,0,0,0
208 HEALTH CARE DR,Lee Health and Rehab,SNFMD,110,103,115,495352,Established,Lee Health and Encompass Health,Pennington Gap,Virginia,24277,101,0,0,0,0,3,0
208 N CASSEL RD,Momentous Health at Vandalia,SNF,118,106,103,366035,Established,Momentus Health,VANDALIA,Ohio,45377,101,0,0,0,0,0,0
2081 LANGHORNE RD,Seven Hills Rehabilitation and Nursing,SNF,NULL,NULL,75,495151,Established,Eastern Healthcare Group,LYNCHBURG,Virginia,24501,51,0,0,0,0,0,0
21 WOODLEE RD,AVIVA BALDWIN PARK-MEMORY CARE,AL,NULL,NULL,17,NULL,Established,Aviva Senior Living,STAUNTON,Virginia,24401,17,0,0,0,0,0,0
210 FOXHALL RD,Croatan Ridge Rehabilitation & Nursing Center,SNF,64,58,18,345491,Established,PRINCIPLE,Newport,North Carolina,28570,18,0,0,0,0,0,0
210 STATE HWY 43,McCormick's Creeks Rehab,SNF,80,72,47,155649,Established,Castle Healthcare,Spencer,Indiana,47460,43,0,0,0,0,11,0
