excel_row,facility,corporate_name,address,city,state,source_type,ownership_type,do_we_serve,beds,census,pattern_tags
19272,MOUNTAIN LAUREL HEALTHCARE AND REHABILITATION CTR,MOUNTAIN LAUREL PROPCO LLC,700 Leonard Street,Clearfield,PA,SNF,Independent,No,300,240,"PROPCO, LLC"
19273,MOUNTAIN VIEW ASSISTED LIVING,MIZPAH PROPERTIES LLC,260 Centerway Drive,Hendersonville,NC,ALF,Corporate,No,27,22,"PROPERTIES, LLC"
19274,MOUNTAIN VIEW CARE AND REHABILITATION CENTER,MOT MENASHE REALTY LLC,2309 Stafford Avenue,Scranton,PA,SNF,Independent,No,204,163,"REALTY, LLC"
19276,MOUNTAIN VIEW MEMORY CARE,711 US-119 LLC,711 State Route 119,Greensburg,PA,ALF,Independent,No,50,40,"ADDRESS_BASED, LLC"
19277,MOUNTAIN VIEW REHABILITATION AND SENIOR LIVING CTR,2050 TREVORTON ROAD LLC,2050 Trevorton Road,Coal Township,PA,SNF,Independent,No,323,258,"ADDRESS_BASED, LLC"
19279,MOUNTAIN VIEW SENIOR LIVING,NPC REALTY LLC,132 Nature Park Road,Greensburg,PA,ALF,Independent,No,66,53,"REALTY, LLC"
19283,MT SINAI APARTMENTS,430 REED LLC,430 Reed St,Philadelphia,PA,ALF,Independent,No,38,30,"ADDRESS_BASED, LLC"
19284,MT. ASSISI PLACE,934 FOREST AVENUE LLC,934 Forest Ave,Bellevue,PA,ALF,Independent,No,60,48,"ADDRESS_BASED, LLC"
19286,MUNCIE ESTATES SENIOR LIVING,EC MUNCIE REALTY LLC,1601 N Morrison Rd,Muncie,IN,ALF,Independent,No,90,72,"REALTY, LLC"
19288,MURPHY REHABILITATION & NURSING,MURPHY HEALTHCARE PROPERTIES LLC,230 Nc Hwy 141,Murphy,NC,SNF,Independent,No,148,118,"PROPERTIES, LLC"
19289,MYERS APARTMENTS,IL-2200 LLC,27200 Cedar Road *,Beachwood,OH,ALF,Independent,No,193,154,SHORT_LLC
19290,MYRTLE BEACH GROVE SENIOR LIVING,SH1 HAPPY WOODS PROPCO LLC,3620 Happy Woods Ct,Myrtle Beach,SC,ALF,Independent,No,142,114,"PROPCO, LLC"
19295,NAZARETH MEMORY CENTER AT MARIA JOSEPH,KNS PROPERTIES HOLDING CO,15 Schoolhouse Road,Danville,PA,ALF,Independent,No,24,19,"HOLDINGS, PROPERTIES"
19298,"NEW ALBANY REHABILITATION CENTER, SKILLED NURSING & ASSISTED LIVING",NEW ALBANY OM PROPCO LLC,5691 Thompson Rd,Columbus,OH,SNF,Independent,No,103,82,"PROPCO, LLC"
19300,NEW DAWN RETIREMENT CENTER,NEW DAWN ASSETS LLC,865 East Iron Avenue,Dover,OH,SNF,Independent,No,151,121,SHORT_LLC
19301,NEW HAVEN ASSISTED LIVING - MARION,DRAKE RENTALS LLC,60 Nichols Dr.,Marion,KY,ALF,Independent,No,31,25,SHORT_LLC
19311,NHC FARRAGUT,NHC HEALTHCARE/FARRAGUT LLC,122 Cavette Hill Ln,Knoxville,TN,ALF,Independent,No,251,201,SHORT_LLC
19312,NHC HEALTHCARE - MAULDIN,NHC HEALTHCARE/MAULDIN LLC,850 E. Butler Rd.,Greenville,SC,SNF,Corporate,No,210,168,SHORT_LLC
19314,"NHC HEALTHCARE, PARKLANE",NHC HEALTHCARE PARKLANE LLC,7601 Parklane Rd,Columbia,SC,SNF,Independent,No,210,168,SHORT_LLC
19316,"NHC PLACE, CAVETTE HILL",NATIONAL HEALTH REALTY INC,121 Cavette Hill Lane,Knoxville,TN,ALF,Independent,No,64,51,REALTY
