cluster_num,address,city,state,excel_row,facility_name,corp,type,beds,census,served,integ,pcp,mh,barrier,source,campus_id,has_served
88,2950 W Park Dr,Cincinnati,OH,11384,AVENTURA AT WEST PARK ALF,AVENTURA,ALF,72,58.0,Yes,Yes,No,No,Termination Risk,LEGACY,,Yes
88,2950 W Park Dr,Cincinnati,OH,11385,AVENTURA AT WEST PARK SNF,AVENTURA,ALF,94,75.0,Yes,Yes,No,No,Termination Risk,LEGACY,,Yes
89,3001 Middle Urbana Rd,Springfield,OH,12450,SPRINGFIELD CLARK ALF - NORTHWOOD,ASPIRE,ALF,60,48.0,Yes,No,Yes,No,,GLR,,Yes
89,3001 Middle Urbana Rd,Springfield,OH,11696,EAGLEWOOD VILLAGE,ASPIRE,ALF,80,64.0,No,No,No,No,,GLR,,Yes
90,3197 SW Blvd,Grove City,OH,11377,ASHFORD OF GROVE CITY,WALLICK SENIOR LIVING,ALF,28,22.0,Yes,Yes,No,No,,LEGACY,,Yes
90,3197 SW Blvd,Grove City,OH,12465,THE ASHFORD OF GROVE CITY,INDEPENDENT,ALF,165,132.0,No,No,No,No,,LEGACY,,Yes
91,3455 Nantucket Cir,Loveland,OH,12616,TRADITIONS - DEERFIELD,INDEPENDENT,ALF,30,24.0,Yes,No,No,Yes,,LEGACY,,Yes
91,3455 Nantucket Cir,Loveland,OH,12584,TRADITIONS OF DEERFIELD,INDEPENDENT,ALF,150,120.0,No,No,No,No,,LEGACY,,Yes
92,3700 Sturbridge Ct,Hilliard,OH,11376,ASHFORD AT STURBRIDGE,WALLICK SENIOR LIVING,ALF,15,12.0,Yes,No,No,Yes,,GLR,,Yes
92,3700 Sturbridge Ct,Hilliard,OH,12464,THE ASHFORD AT STURBRIDGE,WALLICK SENIOR LIVING,ALF,165,132.0,No,No,No,No,,GLR,,Yes
93,4801 E Broad St,Columbus,OH,11378,ASHFORD ON BROAD,WALLICK SENIOR LIVING,ALF,12,10.0,Yes,No,No,Yes,,GLR,,Yes
93,4801 E Broad St,Columbus,OH,12466,THE ASHFORD ON BROAD,WALLICK SENIOR LIVING,ALF,165,132.0,No,No,No,No,,GLR,,Yes
94,4916 N Bend Rd,Cincinnati,OH,12617,TRADITIONS - NORTH BEND,TRADITIONS,ALF,21,17.0,Yes,No,No,Yes,,GLR,,Yes
