excel_row,facility,corporate_name,address,city,state,ownership_type,do_we_serve,db_beds,db_census,nic_operator,nic_owner,nic_ccn,nic_profit_status,nc_units,al_units,mc_units,il_units,aa_units,total_units,classification,tags,detail
9283,KERNER RIDGE ASSISTED LIVING & MEMORY CARE,NAVION,250 Hopkins Rd,Kernersville,NC,Corporate,Yes,20,16,Navion Senior Solutions,250 Hopkins Road,,For Profit,0,43,7,0,0,50,FLAGGED,PROPCO_SPLIT,"Operator=Navion Senior Solutions, Owner=250 Hopkins Road"
9284,KING HEALTH AND REHABILITATION CENTER,MFA,115 White Rd,King,NC,Corporate,Yes,105,84,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: UNIVERSAL HEALTH CARE/KING
9285,KINGS MOUNTAIN MEMORY CARE CENTER,INDEPENDENT,115 Ferguson Dr,Kings Mountain,NC,Independent,Yes,18,14,Kings Mountain Care Center,Grace & Co Ventures LLC,,Unknown,0,0,20,0,0,20,FLAGGED,PROPCO_SPLIT,"Operator=Kings Mountain Care Center, Owner=Grace & Co Ventures LLC"
9286,KINGSBRIDGE HOUSE,ALG,10 Sugarloaf Rd.,Brevard,NC,Corporate,Yes,24,19,ALG Senior,Nc4 Kingsbridge LLC,,Unknown,0,0,60,0,0,60,FLAGGED,PROPCO_SPLIT,"Operator=ALG Senior, Owner=Nc4 Kingsbridge LLC"
9287,KINGSBRIDGE HOUSE,"WP-BREVARD HEALTH HOLDINGS II, LLC",10 Sugar Loaf Rd,Brevard,NC,Independent,No,60,48,ALG Senior,Nc4 Kingsbridge LLC,,Unknown,0,0,60,0,0,60,FLAGGED,PROPCO_SPLIT,"Operator=ALG Senior, Owner=Nc4 Kingsbridge LLC"
9288,KINGSWOOD RESERVE,ALG,263 Mckenzie Ridge Dr,Clayton,NC,Corporate,Yes,55,44,unknown,Clayton Propco LLC,,Unknown,0,42,24,0,0,66,FLAGGED,PROPCO_SPLIT,"Operator=unknown, Owner=Clayton Propco LLC"
9289,KINGSWOOD RESERVE,"CLAYTON OPCO, LLC",263 Mckenzie Ridge Dr,Clayton,NC,Independent,No,66,53,unknown,Clayton Propco LLC,,Unknown,0,42,24,0,0,66,FLAGGED,PROPCO_SPLIT,"Operator=unknown, Owner=Clayton Propco LLC"
9312,LAKE JAMES LODGE,"LAKE JAMES LODGE ASSISTED LIVING, INC",63 Lakeview Dr N,Marion,NC,Corporate,Yes,34,27,unknown,Mizpah Properties LLC,,Unknown,0,60,0,0,0,60,FLAGGED,PROPCO_SPLIT,"Operator=unknown, Owner=Mizpah Properties LLC"
9313,LAKE JAMES LODGE ASSISTED LIVING,"LAKE JAMES LODGE ASSISTED LIVING, INC",63 Lakeview Dr N,Marion,NC,Corporate,No,60,48,unknown,Mizpah Properties LLC,,Unknown,0,60,0,0,0,60,FLAGGED,PROPCO_SPLIT,"Operator=unknown, Owner=Mizpah Properties LLC"
9314,LAKE PARK NURSING AND REHABILITATION CENTER,PRINCIPLE,3315 Faith Church Rd,Indian Trail,NC,Corporate,Yes,75,60,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: LAKE PARK NURSING AND REHABILITATION CENTER
9315,LAKESIDE HEALTH AND REHAB,SABER HEALTHCARE GROUP,13825 Hunton Ln,Huntersville,NC,Corporate,Yes,110,88,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: LAKESIDE HEALTH & REHAB CENTER
9316,LAKEWOOD CARE CENTER,"LAKEWOOD CARE CENTER, INC",2981 Optimist Club Rd,Denver,NC,Corporate,Yes,54,43,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
9317,LAKEWOOD CARE CENTER,"LAKEWOOD CARE CENTER, INC",7981 Optimist Club Rd,Denver,NC,Corporate,No,60,48,Becky Childers & Anita Gillespie,Fa Be Enterprises Inc,,For Profit,0,60,0,0,0,60,FLAGGED,PROPCO_SPLIT,"Operator=Becky Childers & Anita Gillespie, Owner=Fa Be Enterprises Inc"
9318,LANDINGS OF MILLS RIVER,ALG,4143 Haywood Rd,Mills River,NC,Corporate,Yes,50,40,ALG Senior,Fp Real Estate Investments LLC,,For Profit,0,35,24,0,0,59,FLAGGED,PROPCO_SPLIT,"Operator=ALG Senior, Owner=Fp Real Estate Investments LLC"
9319,LAUREL PARK REHABILITATION & HEALTHCARE CENTER,YAD,901 S. Halstead Blvd,Elizabeth City,NC,Corporate,Yes,62,50,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
9320,LAURELWOODS,CSL LAURELHURST NC LLC,1062 W Mills St,Columbus,NC,Corporate,No,60,48,Sonida Senior Living,Csl Laurelhurst Nc LLC,,Unknown,0,36,24,0,0,60,FLAGGED,PROPCO_AS_CORPORATE,"Corp=Owner(Csl Laurelhurst Nc LLC), real operator=Sonida Senior Living"
9321,LAWNDALE MANOR,"LAWNDALE MANOR BUSINESS, LLC",601 Lakeside Dr,Garner,NC,Independent,No,62,50,Ron Whaley,Lawndale Manor Real Estate LLC,,For Profit,0,34,0,0,0,34,FLAGGED,PROPCO_SPLIT,"Operator=Ron Whaley, Owner=Lawndale Manor Real Estate LLC"
9322,"LAWSON RETIRMENT CENTER, INC.","LAWSON RETIREMENT CENTER, INC",1319 Woodbriar Ave,Greensboro,NC,Independent,No,18,14,unknown,Lawson James J,,Unknown,0,18,0,0,0,18,FLAGGED,PROPCO_SPLIT,"Operator=unknown, Owner=Lawson James J"
9323,LEGACY HEIGHTS SENIOR LIVING COMMUNITY,"MORNINGSIDE OF CONCORD, LLC",11230 Ballantyne Trace Ct,Charlotte,NC,Corporate,No,122,98,AlerisLife Inc.,Morningside Of Concord LLC,,Unknown,0,70,52,0,0,122,FLAGGED,PROPCO_AS_CORPORATE,"Corp=Owner(Morningside Of Concord LLC), real operator=AlerisLife Inc."
9324,LEGACY MEMORY CARE AT KINSTON,"LEGACY MEMORY CARE AT KINSTON, LLC",1406 E Shine St,Kinston,NC,Independent,No,24,19,Legacy Memory Care at Kinston,Legacy Memory Care At Kinston,,Unknown,0,0,24,0,0,24,CLEAN,,
9325,LENOIR ASSISTED LIVING,LUTHERAN SENIOR SERVICES,2773 Pinewood Home Dr,Pink Hill,NC,Corporate,Yes,34,27,Victorian Senior Care,Pink Hill Health Care LLC,,Unknown,0,62,32,0,0,94,FLAGGED,PROPCO_SPLIT,"Operator=Victorian Senior Care, Owner=Pink Hill Health Care LLC"
9326,LENOIR ASSISTED LIVING,"LENOIR ASSISTED LIVING, LLC",2773 Pinewood Home Dr,Pink Hill,NC,Independent,No,94,75,Victorian Senior Care,Pink Hill Health Care LLC,,Unknown,0,62,32,0,0,94,FLAGGED,PROPCO_SPLIT,"Operator=Victorian Senior Care, Owner=Pink Hill Health Care LLC"
9327,LENOIR HEALTHCARE,MFA,322 Nuway Cir,Lenoir,NC,Corporate,Yes,111,89,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
9328,LIBERTY COMMONS NSG AND REHAB OF LEE COUNTY,LIBERTY,310 Commerce Dr,Sanford,NC,Corporate,Yes,54,43,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: LIBERTY COMMONS NSG AND REHAB CTR OF LEE COUNTY
9329,LIBERTY COMMONS NURSING AND REHAB OF ALAMANCE,LIBERTY,791 Boone Station Dr,Burlington,NC,Corporate,Yes,123,98,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: LIBERTY COMMONS NURSING & REHAB ALAMANCE
9330,LIGHTHOUSE VILLAGE,"JACKSONVILLE CARE, LLC",182 Village Dr,Jacksonville,NC,Independent,No,80,64,unknown,Fremont Properties LLC,,Unknown,0,80,0,0,0,80,FLAGGED,PROPCO_SPLIT,"Operator=unknown, Owner=Fremont Properties LLC"
9331,LOUISBURG HEALTHCARE & REHABILITATION CENTER,LIBERTY,202 Smoketree Way,Louisburg,NC,Corporate,Yes,89,71,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: LOUISBURG HEALTHCARE & REHABILITATION CENTER
9332,LOUISBURG MANOR,LIBERTY,114 Smoketree Way,Louisburg,NC,Corporate,Yes,41,33,Triad Medical Services,Liberty Healthcare Properties Of Franklin County LLC,,For Profit,0,32,0,22,0,54,FLAGGED,"PROPCO_SPLIT, IL_MIXED","Operator=Triad Medical Services, Owner=Liberty Healthcare Properties Of Franklin County LLC | IL=22 (41% of total) with other unit types"
